504-25-3224|Columbus|Labadie|M|16105 Morar Spur Suite 955|Omena|MI|49674|45.0666|-85.5974|110|Lecturer, further education|1993-12-13|7|millenials.json|17|2015-05-01|entertainment|14.04
630-49-5012|Elvira|Beier|F|821 Lassie Square|Navajo|NM|87328|35.8942|-109.0226|2668|Education officer, environmental|1996-07-11|6|millenials.json|116|2015-05-01|entertainment|47.57
630-49-5012|Elvira|Beier|F|821 Lassie Square|Navajo|NM|87328|35.8942|-109.0226|2668|Education officer, environmental|1996-07-11|6|millenials.json|670|2015-05-03|misc_pos|0.5
630-49-5012|Elvira|Beier|F|821 Lassie Square|Navajo|NM|87328|35.8942|-109.0226|2668|Education officer, environmental|1996-07-11|6|millenials.json|686|2015-05-01|health_fitness|26.83
119-68-7956|Tory|Blanda|M|24812 Severo Valley Apt. 355|Laramie|WY|82073|41.3071|-105.6247|35371|Adult nurse|1991-10-07|5|young_adults.json|1361|2015-05-01|grocery_pos|37.43
538-90-2589|Cruz|Carroll|F|21312 Amani Manor Apt. 433|Glencoe|OH|43928|40.0109|-80.8993|116|Radio broadcast assistant|1993-02-03|9209|millenials.json|406|2015-05-01|home|43.5
538-90-2589|Cruz|Carroll|F|21312 Amani Manor Apt. 433|Glencoe|OH|43928|40.0109|-80.8993|116|Radio broadcast assistant|1993-02-03|9209|millenials.json|848|2015-05-02|misc_net|124.3
743-52-1808|Dixon|Russel|M|45927 Walker Summit Suite 150|Onward|IN|46967|40.6947|-86.1951|98|Holiday representative|1991-11-07|6053567|young_adults.json|1502|2015-05-02|gas_transport|54.75
070-77-3501|Willard|Cole|M|69037 Nina Light Apt. 825|Sun|LA|70463|30.6571|-89.9079|126|Tourist information centre manager|1990-01-27|0|young_adults.json|1452|2015-05-01|shopping_net|2.13
655-44-1653|Ireland|Leannon|F|56242 Dicki Cove Apt. 369|Sawyerville|IL|62085|39.0828|-89.8043|209|Solicitor|1994-03-09|2|millenials.json|931|2015-05-01|grocery_net|12.74
